TimeStamp,Type,Mapping,Action,Side,Price,Size,Depth,OrderId,Condition,Reset,FieldName,FiedType,FieldValue,MessageNumber
2021-11-01T14:00:00.0585000Z,MBO,1,Clear,Ask,,,,1635775199472626565,,,,,,2
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Bid,59.6,141,,1635775200172938624,0,,,,,3
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775195317745713,,,,,,4
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Bid,59.6,141,,1635775200172938624,0,,,,,5
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775200172938624,,,,,,6
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Bid,59.59,41,,1635775187733913007,0,,,,,7
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775195381025663,,,,,,8
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Bid,59.59,35,,1635775200173130095,0,,,,,9
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775196405378255,,,,,,10
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775196542736929,,,,,,11
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775196399682212,,,,,,12
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Bid,59.6,24,,1635775200173562347,0,,,,,13
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775200173562347,,,,,,14
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Bid,59.59,41,,1635775187733913007,0,,,,,15
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Bid,,,,1635775200173130095,,,,,,16
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Ask,59.61,35,,1635775200173632460,0,,,,,17
2021-11-01T14:00:00.1884000Z,MBO,1,Set,Ask,59.61,51,,1635775200173831392,0,,,,,18
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Ask,,,,1635775196702206163,,,,,,19
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Ask,,,,1635775200173632460,,,,,,20
2021-11-01T14:00:00.1884000Z,MBO,1,Clear,Ask,,,,1635775200173831392,,,,,,21
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradePrice,double,59.6,22
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradeSize,long,6,22
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradingCondition,string,0,22
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradeId,string,140000172995322596,22
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradePrice,double,59.6,23
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradeSize,long,141,23
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradingCondition,string,0,23
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradeId,string,140000172995322596,23
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradePrice,double,59.6,24
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradeSize,long,24,24
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradingCondition,string,0,24
2021-11-01T14:00:00.1884000Z,FLD,0,Set,,,,,,,,TradeId,string,140000173605536596,24
2021-11-01T14:00:00.2014000Z,MBO,1,Set,Bid,59.57,135,,1635775200191896386,0,,,,,25
2021-11-01T14:00:00.2278000Z,MBO,1,Set,Bid,59.57,145,,1635775200217617534,0,,,,,26
2021-11-01T14:00:00.2391000Z,MBO,1,Set,Ask,59.61,50,,1635775200223990775,0,,,,,27
2021-11-01T14:00:00.2485000Z,MBO,1,Clear,Ask,,,,1635775200223990775,,,,,,28
2021-11-01T14:00:00.2485000Z,MBO,1,Set,Bid,59.6,62,,1635775200235943719,0,,,,,29
2021-11-01T14:00:00.2485000Z,MBO,1,Clear,Bid,,,,1635775200235943719,,,,,,30
2021-11-01T14:00:00.2485000Z,MBO,1,Set,Bid,59.59,41,,1635775187733913007,0,,,,,31
2021-11-01T14:00:00.2913000Z,FLD,0,Set,,,,,,,,TradePrice,double,59.6,32
2021-11-01T14:00:00.2913000Z,FLD,0,Set,,,,,,,,TradeSize,long,62,32
2021-11-01T14:00:00.2913000Z,FLD,0,Set,,,,,,,,TradingCondition,string,0,32
2021-11-01T14:00:00.2913000Z,FLD,0,Set,,,,,,,,TradeId,string,140000235988479596,32
2021-11-01T14:00:00.2915000Z,MBO,1,Set,Bid,59.57,248,,1635775200257113115,0,,,,,33
2021-11-01T14:00:00.4546000Z,MBO,1,Set,Bid,59.59,98,,1635775200422408243,0,,,,,34
2021-11-01T14:00:00.4546000Z,MBO,1,Set,Bid,59.59,35,,1635775200422459143,0,,,,,35
2021-11-01T14:00:00.4546000Z,MBO,1,Set,Bid,59.59,51,,1635775200422633954,0,,,,,36
2021-11-01T14:00:00.4677000Z,MBO,1,Clear,Bid,,,,1635775200422633954,,,,,,37
2021-11-01T14:00:00.4812000Z,MBO,1,Set,Bid,59.59,51,,1635775200473136235,0,,,,,38
2021-11-01T14:00:00.6482000Z,MBO,1,Clear,Bid,,,,1635775200473136235,,,,,,39
2021-11-01T14:00:00.6482000Z,MBO,1,Set,Bid,59.59,51,,1635775200638204354,0,,,,,40
2021-11-01T14:00:00.7575000Z,MBO,1,Clear,Ask,,,,1635775165575277892,,,,,,41
2021-11-01T14:00:00.7575000Z,MBO,1,Clear,Ask,,,,1635775187707953117,,,,,,42
2021-11-01T14:00:00.7575000Z,MBO,1,Set,Ask,59.61,51,,1635775200736617355,0,,,,,43
2021-11-01T14:00:00.7711000Z,MBO,1,Set,Ask,59.81,400,,1635775200761942770,0,,,,,44
2021-11-01T14:00:00.9438000Z,MBO,1,Clear,Ask,,,,1635775200736617355,,,,,,45
2021-11-01T14:00:00.9801000Z,MBO,1,Set,Ask,59.61,50,,1635775200960716352,0,,,,,46
2021-11-01T14:00:02.5016000Z,MBO,1,Clear,Ask,,,,1635775200960716352,,,,,,47
2021-11-01T14:00:02.5016000Z,MBO,1,Clear,Ask,,,,1635775187707946176,,,,,,48
2021-11-01T14:00:02.5016000Z,MBO,1,Set,Bid,59.59,49,,1635775202490799169,0,,,,,49
2021-11-01T14:00:02.5016000Z,MBO,1,Clear,Bid,,,,1635775114687437398,,,,,,50
2021-11-01T14:00:02.5016000Z,MBO,1,Set,Bid,59.59,19,,1635775202490866611,0,,,,,51
2021-11-01T14:00:02.5016000Z,MBO,1,Clear,Bid,,,,1635775202490799169,,,,,,52
2021-11-01T14:00:02.5876000Z,MBO,1,Set,Bid,59.59,49,,1635775202571141224,0,,,,,53
2021-11-01T14:00:02.5876000Z,MBO,1,Clear,Bid,,,,1635775202571141224,,,,,,54
2021-11-01T14:00:02.7756000Z,MBO,1,Set,Bid,59.59,49,,1635775202747687332,0,,,,,55
2021-11-01T14:00:02.7756000Z,MBO,1,Clear,Bid,,,,1635775202747687332,,,,,,56
2021-11-01T14:00:02.9956000Z,MBO,1,Set,Ask,59.61,98,,1635775202951088958,0,,,,,57
2021-11-01T14:00:03.0718000Z,MBO,1,Set,Ask,59.61,49,,1635775203059144290,0,,,,,58
2021-11-01T14:00:03.0718000Z,MBO,1,Clear,Bid,,,,1635775202490866611,,,,,,59
2021-11-01T14:00:03.0718000Z,MBO,1,Set,Bid,58.39,19,,1635775203059226461,0,,,,,60
2021-11-01T14:00:03.0718000Z,MBO,1,Clear,Ask,,,,1635775203059144290,,,,,,61
2021-11-01T14:00:03.1506000Z,MBO,1,Set,Ask,59.61,49,,1635775203113423938,0,,,,,62
2021-11-01T14:00:03.4221000Z,MBO,1,Clear,Ask,,,,1635775203113423938,,,,,,63
2021-11-01T14:00:03.4622000Z,MBO,1,Set,Ask,59.61,49,,1635775203424889218,0,,,,,64
2021-11-01T14:00:03.6308000Z,MBO,1,Clear,Ask,,,,1635775203424889218,,,,,,65
