GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
2098E49B,FR0010533075,SELL,15.6636,2022-10-07 10:37:40.000,2022-10-07 12:23:18.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
E77724C5,FR0010533075,SELL,15.7326,2022-10-07 08:07:08.000,2022-10-07 12:23:18.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
1C86F01A,FR0010533075,SELL,15.6452,2022-10-06 15:34:36.000,2022-10-06 16:35:29.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
ADE65F51,FR0010533075,SELL,15.7479,2022-10-06 11:08:24.000,2022-10-06 16:35:29.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
88D40B3B,FR0000121485,SELL,460.2109,2022-10-06 10:47:44.000,2022-10-06 16:36:24.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Kering -CFD,787,E:KER
67EA7B83,ANN4327C1220,SELL,174.9,2022-09-09 15:10:06.000,2022-09-09 15:18:35.000,XAMS,EUR,,EUR,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
474FBE79,ANN4327C1220,BUY,174.9667,2022-09-05 08:57:17.000,2022-09-05 16:35:22.000,XAMS,EUR,,EUR,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
7FA92A8E,FR0000120107,BUY,56.9,2022-09-05 08:56:36.000,2022-09-06 14:52:31.000,XPAR,EUR,,EUR,EQTY,ORD,Savencia,787,E:SAVE
3DDEEF53,FR0000121485,SELL,492.0774,2022-09-05 08:56:36.000,2022-09-05 16:35:17.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Kering -CFD,787,E:KER
5B7E8D5C,FR0011981968,SELL,42.3325,2022-09-05 08:56:36.000,2022-09-05 16:35:01.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Worldline SA/France -CFD,787,E:WLN
82F146B4,FR0010533075,BUY,18.3065,2022-09-05 08:56:36.000,2022-09-05 16:35:27.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
9954F1A2,FR0000121014,SELL,634.0314,2022-09-05 08:56:36.000,2022-09-05 16:35:07.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
9DA220DB,US1275372076,BUY,4.1433,2022-08-23 14:43:20.000,2022-08-23 20:50:20.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
3D4728FD,US1275372076,BUY,4.1179,2022-08-22 14:22:39.000,2022-08-22 20:59:38.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
9D117754,US1275372076,BUY,4.1208,2022-08-19 14:31:41.000,2022-08-19 20:59:51.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
7A8D2620,US1275372076,BUY,4.4336,2022-08-18 17:14:24.000,2022-08-18 20:59:52.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
3C35ED3C,US1275372076,BUY,4.8558,2022-08-17 14:33:20.000,2022-08-17 20:59:59.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
53CF0562,US1275372076,BUY,4.4572,2022-08-16 12:48:03.000,2022-08-16 20:59:50.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
B6348470,US88160R1014,SELL,878.0307,2022-08-05 17:01:53.000,2022-08-05 17:09:52.000,XNGS,USD,,USD,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
F5C14277,US64110L1061,SELL,226.6806,2022-08-05 15:02:15.000,2022-08-05 21:01:18.000,XNGS,USD,,USD,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
C0089B2C,FR0011981968,SELL,42.9094,2022-08-03 12:45:52.000,2022-08-03 16:35:30.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Worldline SA/France -CFD,787,E:WLN
FFC63B75,FR0011981968,SELL,43.0124,2022-08-03 10:41:05.000,2022-08-03 16:35:30.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Worldline SA/France -CFD,787,E:WLN
E3B2B808,FR0000121014,SELL,674.8499,2022-08-02 09:31:08.000,2022-08-02 09:31:26.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
F042FD3A,US64110L1061,BUY,227.5612,2022-07-29 15:23:38.000,2022-07-29 16:26:56.000,XNGS,USD,,USD,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
15F812B0,US4523271090,BUY,203.4278,2022-07-27 17:22:13.000,2022-07-27 19:07:12.000,XNGS,USD,,USD,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
1A895123,US88160R1014,BUY,813.4333,2022-07-27 17:20:18.000,2022-07-27 17:50:28.000,XNGS,USD,,USD,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
7A58D4AA,US1275372076,BUY,3.4167,2022-07-27 11:41:02.000,2022-07-27 16:35:09.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
AD816F26,US1275372076,BUY,3.177,2022-07-25 13:29:13.000,2022-07-25 16:23:49.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
1C832274,FR0000120107,SELL,58.5094,2022-07-25 11:32:22.000,2022-07-25 16:35:00.000,XPAR,EUR,,EUR,EQTY,ORD,Savencia,787,E:SAVE
31F6256B,US64110L1061,BUY,221.6732,2022-07-22 14:17:32.000,2022-07-22 21:00:04.000,XNGS,USD,,USD,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
716BC9D5,US47215P1066,BUY,62.3523,2022-07-22 14:17:32.000,2022-07-22 21:00:04.000,XNGS,USD,,USD,SWAP,CFD_OLD,JD.com -ADR -CFD,564,JD
7F062C30,US88160R1014,BUY,826.6781,2022-07-22 14:17:32.000,2022-07-22 21:00:04.000,XNGS,USD,,USD,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
3FB1657C,US4523271090,BUY,203.0975,2022-07-22 14:17:32.000,2022-07-22 21:00:04.000,XNGS,USD,,USD,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
AAAEB958,US2253101016,BUY,549.4297,2022-07-22 14:17:32.000,2022-07-22 21:00:04.000,XNGS,USD,,USD,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
19532743,US1275372076,BUY,3.05,2022-07-22 14:15:00.000,2022-07-22 20:59:57.000,XNMS,USD,,USD,EQTY,ORD,Cadiz,564,CDZI
EDD1093B,FR0000121485,BUY,531.3438,2022-07-22 09:05:33.000,2022-07-22 16:35:10.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Kering -CFD,787,E:KER
180FC319,FR0010533075,SELL,19.0471,2022-07-22 09:05:33.000,2022-07-22 16:35:15.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
A0B09BE8,FR0000121014,BUY,637.0723,2022-07-22 09:05:33.000,2022-07-22 16:35:16.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
F2FE34B3,ANN4327C1220,SELL,174.8,2022-07-22 09:05:33.000,2022-07-22 16:35:23.000,XAMS,EUR,,EUR,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
3375D5B3,FR0010908533,BUY,47.5347,2022-07-22 09:05:33.000,2022-07-22 16:35:26.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Edenred -CFD,787,E:EDEN
06C759D0,FR0011981968,BUY,36.9813,2022-07-22 09:05:33.000,2022-07-22 16:35:02.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Worldline SA/France -CFD,787,E:WLN
548A9A0C,FR0000120107,SELL,59.0294,2022-07-21 09:14:05.000,2022-07-21 16:35:12.000,XPAR,EUR,,EUR,EQTY,ORD,Savencia,787,E:SAVE
996E72EC,FR0000120107,SELL,58.4663,2022-07-21 09:14:05.000,2022-07-22 15:46:56.000,XPAR,EUR,,EUR,EQTY,ORD,Savencia,787,E:SAVE
F1B1C249,FR0000121485,BUY,528.8395,2022-07-21 09:14:05.000,2022-07-21 16:35:17.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Kering -CFD,787,E:KER
E21C67E8,FR0000121014,BUY,632.4152,2022-07-21 09:14:05.000,2022-07-21 16:35:12.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
351E568A,FR0011981968,BUY,37.2948,2022-07-21 09:14:05.000,2022-07-21 16:35:23.000,XPAR,EUR,,EUR,SWAP,CFD_OLD,Worldline SA/France -CFD,787,E:WLN
456320F9,FR0010533075,SELL,19.1124,2022-07-21 09:14:05.000,2022-07-21 16:35:30.000,XPAR,EUR,,EUR,EQTY,ORD,Getlink,787,E:GET
