GUID,ISIN,SEDOL,TICKER,BBG_TICKER,RIC,CUSIP,FIGI,AP_PRICE,AP_TYPE,MARKET_TIMESTAMP,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,MATURITY_DATE,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,OK_ISIN,EXECDATE,OK_DATE,OUR_TICKER,OUR_EXCHANGE
0x05AD8876E50B164E8B9DF4A2B882E91F,FR0000120107,,,,,,,,,,SELL,64.096,2021-11-02 11:25:39.000,2021-11-02 16:35:13.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-02,TRUE,SAVE,XPAR
0x07B9131D0F84F54E9B00131AAD92B9EB,FR0000120107,,,,,,,,,,SELL,64.1376,2021-11-12 07:54:00.000,2021-11-12 16:35:01.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-12,TRUE,SAVE,XPAR
0x0999E9542E48BF40B7ECC7718F1A3DF3,FR0000120107,,,,,,,,,,BUY,70,2021-08-23 08:11:45.000,2021-08-24 13:46:46.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-08-24,TRUE,SAVE,XPAR
0x09C70CF90CF252449B4AA1D11A8E6DF2,FR0000120107,,,,,,,,,,SELL,64.5478,2021-11-11 10:27:08.000,2021-11-11 16:35:25.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-11,TRUE,SAVE,XPAR
0x0F331EB71DC35D4B9EE009B18AA51879,FR0000120107,,,,,,,,,,SELL,65.5616,2021-11-18 10:38:40.000,2021-11-18 16:29:12.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-18,TRUE,SAVE,XPAR
0x120969BF6F6E4B449638413568F90386,FR0000120107,,,,,,,,,,SELL,64.2184,2021-11-22 08:54:46.000,2021-11-22 16:21:13.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-22,TRUE,SAVE,XPAR
0x12C8DA78A3113C4AA69AA13AB9DF42D7,FR0000120107,,,,,,,,,,SELL,63.7304,2021-11-04 08:46:32.000,2021-11-04 16:35:18.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-04,TRUE,SAVE,XPAR
0x130D7F3A8BD0194C8202F99A959EE2CC,FR0000120107,,,,,,,,,,SELL,64.1333,2021-11-16 07:48:03.000,2021-11-16 13:17:05.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-16,TRUE,SAVE,XPAR
0x159DFA8CAEBC3B4A93A5AF867B5CD7F5,FR0000120107,,,,,,,,,,SELL,64.5478,2021-11-11 10:27:08.000,2021-11-11 16:35:25.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-11,TRUE,SAVE,XPAR
0x1BC5BB3A0D594345B3743D393C92A374,FR0000120107,,,,,,,,,,BUY,69.6,2021-08-19 08:09:13.000,2021-08-19 14:55:43.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-08-19,TRUE,SAVE,XPAR
0x1F34122F54AA8041892444E799BD5ED9,FR0000120107,,,,,,,,,,BUY,69.6,2021-08-19 08:09:13.000,2021-08-19 14:55:43.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-08-19,TRUE,SAVE,XPAR
0x2032C5DBC21DF440AB609BC85AAAE616,FR0000120107,,,,,,,,,,SELL,63.8444,2021-11-09 08:12:43.000,2021-11-09 16:35:07.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-09,TRUE,SAVE,XPAR
0x25B0851F24CFFB4C99912D854E0A8BEB,FR0000120107,,,,,,,,,,SELL,64.3765,2021-11-15 08:35:40.000,2021-11-15 16:35:10.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-15,TRUE,SAVE,XPAR
0x26D66DCFCF93464FB5C038E3AD4BC84D,FR0000120107,,,,,,,,,,SELL,63.8,2021-11-08 08:40:27.000,2021-11-08 15:52:25.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-08,TRUE,SAVE,XPAR
0x2C2108DF2054A1429FB37018A0B3591D,FR0000120107,,,,,,,,,,SELL,64.2184,2021-11-22 08:54:46.000,2021-11-22 16:21:13.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-22,TRUE,SAVE,XPAR
0x2EC391521A6BC746B6149F6B34DB6C71,FR0000120107,,,,,,,,,,SELL,63.8444,2021-11-09 08:12:43.000,2021-11-09 16:35:07.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-09,TRUE,SAVE,XPAR
0x3516E1BDEDB5A54794A5627A5D2854DF,FR0000120107,,,,,,,,,,SELL,62.1559,2021-11-25 10:25:53.000,2021-11-30 16:35:15.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-30,TRUE,SAVE,XPAR
0x394E4683CBB2F04ABDE6999F774D3D69,FR0000120107,,,,,,,,,,SELL,64.1149,2021-11-23 08:42:31.000,2021-11-23 14:42:18.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-23,TRUE,SAVE,XPAR
0x3990945CF1E93F4EA94390D5093A9B94,FR0000120107,,,,,,,,,,SELL,63.8993,2021-11-03 08:14:19.000,2021-11-03 16:35:27.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-03,TRUE,SAVE,XPAR
0x3B6102C26E9B8D438E22BECEE6C4F423,FR0000120107,,,,,,,,,,SELL,64.2027,2021-10-25 08:34:52.000,2021-10-25 16:35:18.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-10-25,TRUE,SAVE,XPAR
0x3C557045A8AF94458F7946B2AA6077DB,FR0000120107,,,,,,,,,,SELL,64.1376,2021-11-12 07:54:00.000,2021-11-12 16:35:01.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-12,TRUE,SAVE,XPAR
0x3E5F013CC6AF41429F666B2C330C6678,FR0000120107,,,,,,,,,,SELL,64.2,2021-11-10 07:51:31.000,2021-11-10 13:05:22.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-10,TRUE,SAVE,XPAR
0x3EDF1A94C6F608408D74B514BEDAADD8,FR0000120107,,,,,,,,,,BUY,72.9,2021-09-07 11:05:54.000,2021-09-07 11:42:27.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-09-07,TRUE,SAVE,XPAR
0x44D7DDF71571B449A2A28C7874B81EF5,FR0000120107,,,,,,,,,,SELL,66,2021-11-19 08:30:20.000,2021-11-19 11:39:09.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-19,TRUE,SAVE,XPAR
0x46D2BA1DE76618429EDE1D75A10F3AA1,FR0000120107,,,,,,,,,,SELL,65.6024,2021-11-18 10:38:40.000,2021-11-18 16:35:24.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-18,TRUE,SAVE,XPAR
0x47E6EAD6B2DED44FA4976B9725EF37F0,FR0000120107,,,,,,,,,,SELL,64.1758,2021-11-16 07:48:03.000,2021-11-16 16:35:09.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-16,TRUE,SAVE,XPAR
0x4B7270CC3B9ABD4EA74097E0EE24B7E6,FR0000120107,,,,,,,,,,SELL,66,2021-11-19 08:30:20.000,2021-11-19 11:39:09.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-19,TRUE,SAVE,XPAR
0x4CBD7A139845E84797C0ABCDCD819177,FR0000120107,,,,,,,,,,SELL,63.7943,2021-11-08 08:40:27.000,2021-11-08 16:35:07.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-08,TRUE,SAVE,XPAR
0x4CBF53AF2865764F8F8A855CA6AC2773,FR0000120107,,,,,,,,,,SELL,63.7444,2021-11-05 14:00:48.000,2021-11-05 16:35:03.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-05,TRUE,SAVE,XPAR
0x4E8242AC3420094D8D3BC0E29D5F8CEC,FR0000120107,,,,,,,,,,SELL,64.631,2021-10-18 08:21:22.000,2021-10-18 16:35:23.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-10-18,TRUE,SAVE,XPAR
0x4F0950EF53E4FB4DA66A281241789DE2,FR0000120107,,,,,,,,,,SELL,63.8444,2021-11-09 08:12:43.000,2021-11-09 16:35:07.000,XPAR,EUR,,EUR,,EQTY,ORD,Savencia,TRUE,2021-11-09,TRUE,SAVE,XPAR
