"Provider","Lines","Percentage"
"C21","6515","0.003"
"B26","20079","0.008"
"C10","30316","0.012"
"C41","158392","0.063"
"C40","182791","0.073"
"C38","191256","0.076"
"C14","271365","0.108"
"C30","272420","0.108"
"B23","348172","0.138"
"C31","510398","0.203"
"C16","636968","0.253"
"A35","791023","0.314"
"B46","807186","0.321"
"C45","810939","0.322"
"B11","823618","0.327"
"A36","853756","0.339"
"C42","1066729","0.424"
"A32","1070430","0.425"
"C37","1078765","0.428"
"C39","1090433","0.433"
"C17","1114624","0.443"
"C33","1148382","0.456"
"C13","1252181","0.497"
"B22","1292630","0.513"
"C19","1360148","0.540"
"C25","1380391","0.548"
"C28","1378932","0.548"
"C44","1409610","0.560"
"C29","1414223","0.562"
"C43","1420002","0.564"
"C24","1449832","0.576"
"C20","1450562","0.576"
"C12","1454673","0.578"
"C15","1469343","0.583"
"C18","1572074","0.624"
"A34","1745086","0.693"
"Total","2518289","1"
