"Provider","Lines","Percentage"
"C21","7063","0.000"
"C10","30316","0.002"
"B26","223989","0.012"
"C30","272420","0.014"
"A35","791023","0.041"
"C45","810939","0.042"
"C37","1078765","0.056"
"C33","1148382","0.059"
"C41","1175620","0.060"
"C40","1251601","0.064"
"C43","1684694","0.087"
"C15","2016247","0.104"
"C19","2515036","0.129"
"C14","2541384","0.131"
"C38","2737827","0.141"
"C17","3211931","0.165"
"B23","3309588","0.170"
"A36","5162166","0.266"
"C16","5567815","0.286"
"C31","6746245","0.347"
"B46","7280433","0.375"
"A32","7316119","0.376"
"C18","7363279","0.379"
"C39","8365037","0.430"
"C13","8818561","0.454"
"C24","8863529","0.456"
"B11","9283593","0.478"
"B22","9934560","0.511"
"C42","10531211","0.542"
"C12","11870082","0.611"
"A34","13221801","0.680"
"C29","13412783","0.690"
"C25","13419916","0.690"
"C44","13405707","0.690"
"C28","13673435","0.704"
"C20","14370476","0.739"
"Total","19435094","1"
