"Provider","Lines","Percentage"
"Lesechos","84006","0.010"
"Lynx","801808","0.100"
"BusinessInsider","1021619","0.127"
"Investing","1132038","0.141"
"Reuters","1393606","0.173"
"MorningStar","1425904","0.177"
"SlickCharts","1493081","0.185"
"StockAnalysis","1570294","0.195"
"Iexcloud","1870882","0.232"
"Fidelity","1955619","0.243"
"Investor","2112023","0.262"
"Yahoo","2579499","0.320"
"BourseDirect","2782576","0.346"
"Marketscreener","3346519","0.416"
"Benzinga","3557072","0.442"
"Nasdaq","4279458","0.531"
"Barchart","4444453","0.552"
"TradingView","4935287","0.613"
"WallStreetJournal","6105171","0.758"
"MarketWatch","6105171","0.758"
"Koyfin","6141817","0.763"
"MacroTrends","6260107","0.777"
"Fool","6580683","0.817"
"Total","8052550","1"
