Provider,Lines,Percentage
Forbes,7095,0
AbcBourse,30404,0.002
Lesechos,223265,0.013
Marketbeat,273938,0.016
Nyse,794101,0.047
Webull,812508,0.048
SeekingAlpha,1082536,0.064
Msn,1149920,0.068
Lynx,1158922,0.068
TradingEconomics,1185845,0.07
StockMonitor,1261984,0.074
UnusualWhales,1682394,0.099
Cnbc,2022089,0.119
SlickCharts,2186222,0.129
BusinessInsider,2307920,0.136
Finviz,2518758,0.148
FinancialTimes,3223656,0.19
Investing,3313179,0.195
Ychart,4404521,0.259
Reuters,5200034,0.306
Fidelity,5586660,0.329
Marketscreener,5647693,0.333
Yahoo,7298859,0.43
MorningStar,7350505,0.433
Fintel,7381624,0.435
Barchart,8031504,0.473
Investor,8274199,0.487
StockAnalysis,8415641,0.496
BourseDirect,8708477,0.513
TradingView,8840710,0.521
Iexcloud,9997636,0.589
MarketWatch,11421931,0.673
WallStreetJournal,11427468,0.673
Koyfin,11441835,0.674
MacroTrends,11729156,0.691
Benzinga,11929150,0.703
Fool,12572473,0.741
Nasdaq,13289008,0.783
Total,16977907,1
