"Provider","Lines","Percentage"
"Dividend","1582","0.078"
"Investing","3571","0.176"
"Marketscreener","4023","0.199"
"Fidelity","4591","0.227"
"Reuters","4842","0.239"
"DividendMax","4854","0.240"
"RendementBourse","5179","0.256"
"FinancialTimes","5285","0.261"
"Yahoo","5408","0.267"
"Barchart","7084","0.350"
"TradingView","7311","0.361"
"Webull","8042","0.397"
"MorningStar","8051","0.398"
"Nyse","8237","0.407"
"WallStreetJournal","10810","0.534"
"MarketWatch","10848","0.536"
"Iexcloud","14166","0.700"
"Benzinga","15103","0.746"
"Nasdaq","15261","0.754"
"SeekingAlpha","15875","0.784"
"Ychart","15889","0.785"
"Total","20241","1"
