X,B11,C12,C48,C16,C20,B22,B23,C28,C31,C29,A32,A34,C50,A36,C37,C42,C44,C45,B46,C47
B11,0,1,1,0.8461538461538461,1,1,1,0.8571428571428571,1,1,1,1,0.9411764705882353,1,1,1,1,1,0.8888888888888888,1
C12,1,0,0.6666666666666666,0.9411764705882353,0.9864864864864865,0.9795918367346939,1,0.676923076923077,1,1,0.8695652173913043,1,1,1,0.9852941176470589,1,1,1,0.9166666666666666,0.9868421052631579
C48,1,0.6666666666666666,0,0,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0.6666666666666666,0.5,1,0.6666666666666666,1,0.6666666666666666,0.6,0.3333333333333333,0.6666666666666666
C16,0.8461538461538461,0.9411764705882353,0,0,0.9523809523809523,1,1,0.9,1,0.9473684210526315,0.6666666666666666,0.9411764705882353,0.8888888888888888,1,0.95,1,0.9473684210526315,0.9411764705882353,0.8125,0.9523809523809523
C20,1,0.9864864864864865,0.6666666666666666,0.9523809523809523,0,1,1,0.6666666666666666,1,1,0.8888888888888888,1,1,1,1,1,1,1,0.9354838709677419,1
B22,1,0.9795918367346939,0.6666666666666666,1,1,0,1,0.76,1,1,0.8235294117647058,1,1,1,1,1,1,1,0.9166666666666666,1
B23,1,1,1,1,1,1,0,0.875,1,1,1,1,1,1,1,1,1,1,1,1
C28,0.8571428571428571,0.676923076923077,0.6666666666666666,0.9,0.6666666666666666,0.76,0.875,0,0.8,0.704225352112676,0.5833333333333334,0.6805555555555556,0.75,0.7727272727272727,0.6923076923076923,0.717391304347826,0.704225352112676,0.74,0.696969696969697,0.6666666666666666
C31,1,1,0.3333333333333333,1,1,1,1,0.8,0,1,0.75,1,1,1,1,1,1,1,1,1
C29,1,1,0.6666666666666666,0.9473684210526315,1,1,1,0.704225352112676,1,0,0.8888888888888888,1,1,1,1,1,1,1,0.9375,1
A32,1,0.8695652173913043,1,0.6666666666666666,0.8888888888888888,0.8235294117647058,1,0.5833333333333334,0.75,0.8888888888888888,0,0.875,0.6666666666666666,1,0.8695652173913043,0.95,0.8888888888888888,0.9285714285714286,0.75,0.896551724137931
A34,1,1,0.6666666666666666,0.9411764705882353,1,1,1,0.6805555555555556,1,1,0.875,0,1,1,1,1,1,1,0.9285714285714286,1
C50,0.9411764705882353,1,0.5,0.8888888888888888,1,1,1,0.75,1,1,0.6666666666666666,1,0,1,1,1,1,1,1,1
A36,1,1,1,1,1,1,1,0.7727272727272727,1,1,1,1,1,0,1,1,1,1,0.8333333333333334,1
C37,1,0.9852941176470589,0.6666666666666666,0.95,1,1,1,0.6923076923076923,1,1,0.8695652173913043,1,1,1,0,1,1,1,0.9310344827586207,1
C42,1,1,1,1,1,1,1,0.717391304347826,1,1,0.95,1,1,1,1,0,1,1,0.9090909090909091,1
C44,1,1,0.6666666666666666,0.9473684210526315,1,1,1,0.704225352112676,1,1,0.8888888888888888,1,1,1,1,1,0,1,0.9375,1
C45,1,1,0.6,0.9411764705882353,1,1,1,0.74,1,1,0.9285714285714286,1,1,1,1,1,1,0,0.9310344827586207,1
B46,0.8888888888888888,0.9166666666666666,0.3333333333333333,0.8125,0.9354838709677419,0.9166666666666666,1,0.696969696969697,1,0.9375,0.75,0.9285714285714286,1,0.8333333333333334,0.9310344827586207,0.9090909090909091,0.9375,0.9310344827586207,0,0.9411764705882353
C47,1,0.9868421052631579,0.6666666666666666,0.9523809523809523,1,1,1,0.6666666666666666,1,1,0.896551724137931,1,1,1,1,1,1,1,0.9411764705882353,0
