"Provider","Lines","Percentage"
"Investing","16","0.006"
"Dividend","17","0.006"
"Marketscreener","21","0.008"
"Fidelity","22","0.008"
"RendementBourse","29","0.011"
"MorningStar","36","0.014"
"Barchart","51","0.019"
"Yahoo","55","0.021"
"Webull","74","0.028"
"Iexcloud","77","0.029"
"Benzinga","80","0.030"
"MacroTrends","87","0.033"
"WallStreetJournal","94","0.035"
"Nasdaq","92","0.035"
"MarketWatch","96","0.036"
"Fool","102","0.038"
"Ychart","107","0.040"
"SeekingAlpha","110","0.041"
"Reuters","129","0.049"
"TradingView","2386","0.899"
"Total","2655","1"
