X,B11,C12,C48,C16,C20,B22,B23,C28,C31,C29,A32,A34,C50,A36,C37,C42,C44,C45,B46,C47
B11,0,0.9908151549942594,0.9230769230769231,0.990909090909091,0.992821645499724,0.9712230215827338,0.9842105263157894,0.8982671883733929,1,0.9923747276688453,0.9890363531448355,0.9879032258064516,0.9910071942446043,0.9948586118251928,0.9935217903415783,0.9917127071823204,0.9923747276688453,0.9953314659197012,0.9883585564610011,0.9770992366412213
C12,0.9908151549942594,0,0.9210526315789473,0.9962476547842402,0.9943135662063363,0.9918032786885246,1,0.8308457711442786,1,0.9958779884583677,0.9898190045248869,0.9954441913439636,0.9900332225913622,0.9955257270693513,0.9954914337240758,0.996078431372549,0.9958745874587459,0.9967602591792657,0.9838492597577388,0.996268656716418
C48,0.9230769230769231,0.9210526315789473,0,1,0.9230769230769231,0.90625,1,0.5882352941176471,0.6,0.8888888888888888,1,0.9090909090909091,0.8947368421052632,1,0.9318181818181818,1,0.8888888888888888,0.8846153846153846,0.8,0.896551724137931
C16,0.990909090909091,0.9962476547842402,1,0,0.9955005624296963,1,0.9923076923076923,0.9619377162629758,1,0.9966101694915255,0.9953775038520801,0.9930555555555556,0.9896729776247849,0.9893048128342246,0.9976359338061466,0.9970149253731343,0.9966101694915255,0.9967320261437909,0.9878419452887538,0.9848484848484849
C20,0.992821645499724,0.9943135662063363,0.9230769230769231,0.9955005624296963,0,1,1,0.8443193110301425,1,0.999192462987887,0.9901960784313726,0.9980952380952381,0.9951948745328351,0.99581589958159,0.9977418140760256,0.9993295340261482,0.9991922455573505,1,0.9737827715355806,1
B22,0.9712230215827338,0.9918032786885246,0.90625,1,1,0,1,0.678030303030303,1,1,0.944,1,0.9767441860465116,1,1,1,1,1,0.9507042253521126,1
B23,0.9842105263157894,1,1,0.9923076923076923,1,1,0,0.8756476683937824,0.96875,0.9953703703703703,1,1,0.9827586206896551,0.98989898989899,0.9948979591836735,0.995,0.9953703703703703,0.9938650306748467,0.986046511627907,1
C28,0.8982671883733929,0.8308457711442786,0.5882352941176471,0.9619377162629758,0.8443193110301425,0.678030303030303,0.8756476683937824,0,0.8225806451612904,0.8434754311747478,0.8871817383669885,0.7008032128514057,0.8788242351529694,0.7956318252730109,0.8762202264740335,0.8539012738853503,0.8434754311747478,0.8677940046118371,0.8587140439932318,0.592057761732852
C31,1,1,0.6,1,1,1,0.96875,0.8225806451612904,0,0.9841269841269841,0.92,1,1,1,1,0.9836065573770492,0.9841269841269841,1,1,1
C29,0.9923747276688453,0.9958779884583677,0.8888888888888888,0.9966101694915255,0.999192462987887,1,0.9953703703703703,0.8434754311747478,0.9841269841269841,0,0.9887265135699373,0.9980430528375733,0.9968102073365231,0.9959016393442623,0.9977409638554217,0.999031007751938,1,1,0.9726735598227474,1
A32,0.9890363531448355,0.9898190045248869,1,0.9953775038520801,0.9901960784313726,0.944,1,0.8871817383669885,0.92,0.9887265135699373,0,0.9769585253456221,0.986100950987564,0.9858156028368794,0.9913949275362319,0.9912625600698995,0.9887265135699373,0.9955476402493322,0.9795134443021767,0.9478260869565217
A34,0.9879032258064516,0.9954441913439636,0.9090909090909091,0.9930555555555556,0.9980952380952381,1,1,0.7008032128514057,1,0.9980430528375733,0.9769585253456221,0,0.9846153846153847,1,0.9975369458128078,1,0.9980392156862745,1,0.9741100323624595,0.996309963099631
C50,0.9910071942446043,0.9900332225913622,0.8947368421052632,0.9896729776247849,0.9951948745328351,0.9767441860465116,0.9827586206896551,0.8788242351529694,1,0.9968102073365231,0.986100950987564,0.9846153846153847,0,0.9904458598726115,0.994486560992419,0.9968071519795658,0.9968102073365231,0.9955223880597015,1,0.9782608695652174
A36,0.9948586118251928,0.9955257270693513,1,0.9893048128342246,0.99581589958159,1,0.98989898989899,0.7956318252730109,1,0.9959016393442623,0.9858156028368794,1,0.9904458598726115,0,0.9907235621521335,0.9904761904761905,0.9959016393442623,0.9951338199513382,0.979746835443038,0.9910714285714286
C37,0.9935217903415783,0.9954914337240758,0.9318181818181818,0.9976359338061466,0.9977418140760256,1,0.9948979591836735,0.8762202264740335,1,0.9977409638554217,0.9913949275362319,0.9975369458128078,0.994486560992419,0.9907235621521335,0,0.9981965734896303,0.9977401129943503,0.9985074626865672,0.9895437262357415,1
C42,0.9917127071823204,0.996078431372549,1,0.9970149253731343,0.9993295340261482,1,0.995,0.8539012738853503,0.9836065573770492,0.999031007751938,0.9912625600698995,1,0.9968071519795658,0.9904761904761905,0.9981965734896303,0,0.999031007751938,1,0.9752321981424149,1
C44,0.9923747276688453,0.9958745874587459,0.8888888888888888,0.9966101694915255,0.9991922455573505,1,0.9953703703703703,0.8434754311747478,0.9841269841269841,1,0.9887265135699373,0.9980392156862745,0.9968102073365231,0.9959016393442623,0.9977401129943503,0.999031007751938,0,1,0.9726735598227474,1
C45,0.9953314659197012,0.9967602591792657,0.8846153846153846,0.9967320261437909,1,1,0.9938650306748467,0.8677940046118371,1,1,0.9955476402493322,1,0.9955223880597015,0.9951338199513382,0.9985074626865672,1,1,0,0.991494532199271,1
B46,0.9883585564610011,0.9838492597577388,0.8,0.9878419452887538,0.9737827715355806,0.9507042253521126,0.986046511627907,0.8587140439932318,1,0.9726735598227474,0.9795134443021767,0.9741100323624595,1,0.979746835443038,0.9895437262357415,0.9752321981424149,0.9726735598227474,0.991494532199271,0,0.9448275862068966
C47,0.9770992366412213,0.996268656716418,0.896551724137931,0.9848484848484849,1,1,1,0.592057761732852,1,1,0.9478260869565217,0.996309963099631,0.9782608695652174,0.9910714285714286,1,1,1,1,0.9448275862068966,0
