"Provider","Lines","Percentage"
"Lesechos","73439","0.010"
"BusinessInsider","879071","0.120"
"Investing","969313","0.132"
"MorningStar","1040254","0.142"
"StockAnalysis","1126111","0.153"
"Reuters","1183357","0.161"
"Iexcloud","1344662","0.183"
"SlickCharts","1382557","0.188"
"Fidelity","1725830","0.235"
"Investor","1908407","0.260"
"Yahoo","2254707","0.307"
"BourseDirect","2425694","0.330"
"Benzinga","3032193","0.413"
"Marketscreener","3066789","0.417"
"Nasdaq","3718922","0.506"
"Barchart","4069182","0.554"
"TradingView","4521971","0.616"
"MarketWatch","5583158","0.760"
"WallStreetJournal","5583158","0.760"
"Koyfin","5614037","0.764"
"MacroTrends","5738759","0.781"
"Fool","5772387","0.786"
"Total","7345913","1"
