"Provider","Lines","Percentage"
"Forbes","7063","0.000"
"AbcBourse","30316","0.002"
"Lesechos","223989","0.012"
"Marketbeat","272420","0.014"
"Nyse","791023","0.041"
"Webull","810939","0.042"
"SeekingAlpha","1078765","0.056"
"Msn","1148382","0.059"
"TradingEconomics","1175620","0.060"
"StockMonitor","1251601","0.064"
"UnusualWhales","1684694","0.087"
"Cnbc","2016247","0.104"
"Finviz","2515036","0.129"
"BusinessInsider","2541384","0.131"
"SlickCharts","2737827","0.141"
"FinancialTimes","3211931","0.165"
"Investing","3309588","0.170"
"Reuters","5162166","0.266"
"Fidelity","5567815","0.286"
"Marketscreener","6746245","0.347"
"Yahoo","7280433","0.375"
"MorningStar","7316119","0.376"
"Fintel","7363279","0.379"
"StockAnalysis","8365037","0.430"
"BourseDirect","8818561","0.454"
"Investor","8863529","0.456"
"Barchart","9283593","0.478"
"Iexcloud","9934560","0.511"
"TradingView","10531211","0.542"
"Benzinga","11870082","0.611"
"Nasdaq","13221801","0.680"
"MarketWatch","13412783","0.690"
"Koyfin","13419916","0.690"
"WallStreetJournal","13405707","0.690"
"MacroTrends","13673435","0.704"
"Fool","14370476","0.739"
"Total","19435094","1"
