"Provider","Lines","Percentage"
"Forbes","6547","0.003"
"Lesechos","20133","0.008"
"AbcBourse","30402","0.012"
"Lynx","93055","0.037"
"TradingEconomics","158540","0.063"
"StockMonitor","183008","0.073"
"SlickCharts","191565","0.076"
"BusinessInsider","272104","0.108"
"Marketbeat","274200","0.109"
"Investing","348576","0.138"
"Marketscreener","512268","0.203"
"Fidelity","637728","0.253"
"Nyse","793450","0.315"
"Yahoo","808746","0.321"
"Webull","812830","0.322"
"Barchart","824678","0.327"
"Reuters","855997","0.339"
"TradingView","1069652","0.424"
"MorningStar","1072405","0.425"
"SeekingAlpha","1082081","0.429"
"StockAnalysis","1092731","0.433"
"FinancialTimes","1118303","0.443"
"Msn","1151493","0.456"
"BourseDirect","1254068","0.497"
"Iexcloud","1295407","0.513"
"Finviz","1363897","0.541"
"MacroTrends","1383019","0.548"
"Koyfin","1384668","0.549"
"WallStreetJournal","1413632","0.560"
"MarketWatch","1418507","0.562"
"UnusualWhales","1423678","0.564"
"Investor","1453116","0.576"
"Fool","1454982","0.577"
"Benzinga","1458739","0.578"
"Cnbc","1473271","0.584"
"Ychart","1532586","0.608"
"Fintel","1577602","0.625"
"Nasdaq","1749450","0.693"
"Total","2522774","1"
