Provider,Lines,Percentage
AbcBourse,30404,0.20%
Barchart,8031504,47.30%
Benzinga,11929150,70.30%
BourseDirect,8708477,51.30%
BusinessInsider,2307920,13.60%
Cnbc,2022089,11.90%
Fidelity,5586660,32.90%
FinancialTimes,3223656,19.00%
Fintel,7381624,43.50%
Finviz,2518758,14.80%
Fool,12572473,74.10%
Forbes,7095,0.00%
Iexcloud,9997636,58.90%
Investing,3313179,19.50%
Investor,8274199,48.70%
Koyfin,11441835,67.40%
Lesechos,223265,1.30%
Lynx,1158922,6.80%
MacroTrends,11729156,69.10%
MarketWatch,11421931,67.30%
Marketbeat,273938,1.60%
Marketscreener,5647693,33.30%
MorningStar,7350505,43.30%
Msn,1149920,6.80%
Nasdaq,13289008,78.30%
Nyse,794101,4.70%
Reuters,5200034,30.60%
SeekingAlpha,1082536,6.40%
SlickCharts,2186222,12.90%
StockAnalysis,8415641,49.60%
StockMonitor,1261984,7.40%
TradingEconomics,1185845,7.00%
TradingView,8840710,52.10%
UnusualWhales,1682394,9.90%
WallStreetJournal,11427468,67.30%
Webull,812508,4.80%
Yahoo,7298859,43.00%
Ychart,4404521,25.90%
,,
Total,16977907,100.00%
