X,Barchart,Benzinga,Dividend,DividendMax,Fidelity,FinancialTimes,Iexcloud,Investing,Marketscreener,MarketWatch,MorningStar,Nasdaq,Nyse,RendementBourse,Reuters,SeekingAlpha,TradingView,WallStreetJournal,Webull,Yahoo,Ychart
Barchart,0,0.9853917662682603,0.984,0.9931075816601738,0.9848214285714286,0.9829616637434228,0.9889311656866137,0.9015247776365947,0.9853574504737296,0.9788559015206372,0.9910741766697445,0.9974052183941184,0.9932220201686229,0.9895052473763118,0.9773024879965081,0.9880768039640756,0.9937478877999324,0.9788375126829976,0.9889383929943155,0.98903836571998,0.9910546818640888
Benzinga,0.9853917662682603,0,0.9881266490765171,0.9823749724608944,0.9768174656763449,0.9810151878497202,0.9781777636189869,0.887369985141159,0.9807938540332907,0.9507026789635485,0.9884640311082307,0.952674133966323,0.9703606557377049,0.9677547770700637,0.9749845583693638,0.9643814360276485,0.9923554017020049,0.9506864360241626,0.9742680845477222,0.9638361638361639,0.9707323713585625
Dividend,0.984,0.9881266490765171,0,0.9823529411764705,0.9858299595141701,0.9815668202764977,0.9878826530612245,0.9153846153846154,0.9840579710144928,0.9778523489932885,0.9870660313138189,0.9913850231941683,0.9913419913419913,0.9762979683972912,0.9665271966527197,0.9732313575525813,0.9920116194625999,0.9778523489932885,0.9834834834834835,0.9792060491493384,0.9910714285714286
DividendMax,0.9931075816601738,0.9823749724608944,0.9823529411764705,0,0.9939962476547842,0.981404958677686,0.9972609561752988,0.9063640048642075,0.9835720303285594,0.9650762420068864,0.9924509310518369,0.9778919160339438,0.9963479415670651,0.9877133105802047,0.981651376146789,0.9886792452830189,0.9987261146496815,0.9648303000491883,0.9812324929971988,0.9797645327446652,0.9952809952809952
Fidelity,0.9848214285714286,0.9768174656763449,0.9858299595141701,0.9939962476547842,0,0.9938775510204082,0.9929594561786842,0.8903863432165319,0.9884836852207294,0.9734177215189873,0.9919632606199771,0.9548634619724667,0.9935753292643752,0.9842913245269547,0.9936,0.991480996068152,0.9969501863774991,0.9734177215189873,0.9738505747126437,0.9793561931420574,0.9936137414666373
FinancialTimes,0.9829616637434228,0.9810151878497202,0.9815668202764977,0.981404958677686,0.9938775510204082,0,0.9746328437917223,0.9033840117704757,0.9869337979094077,0.9697327044025157,0.9863994273443092,0.96,0.9640102827763496,0.9718430034129693,0.9901656314699793,0.9640969162995595,0.9839842035980694,0.9698640929682883,0.9838311250842129,0.9692168401991852,0.9635121951219512
Iexcloud,0.9889311656866137,0.9781777636189869,0.9878826530612245,0.9972609561752988,0.9929594561786842,0.9746328437917223,0,0.8896551724137931,0.9853438556933484,0.9523973388391833,0.9914617989106433,0.9505955376614662,0.9691540738432778,0.9685885513535855,0.9761173660866599,0.9756499319630452,0.996381805651275,0.9523973388391833,0.9640846142139705,0.9641401792991035,0.9827932098765432
Investing,0.9015247776365947,0.887369985141159,0.9153846153846154,0.9063640048642075,0.8903863432165319,0.9033840117704757,0.8896551724137931,0,0.9202291758483914,0.8736312518496596,0.8999049730757048,0.8855766335441132,0.8777320240734875,0.8978790259230165,0.9213362068965517,0.877657935285054,0.9099689548120041,0.8736312518496596,0.8890920170627666,0.8877245508982036,0.8796511627906977
Marketscreener,0.9853574504737296,0.9807938540332907,0.9840579710144928,0.9835720303285594,0.9884836852207294,0.9869337979094077,0.9853438556933484,0.9202291758483914,0,0.9817715019255455,0.9829236739974127,0.9848872950819673,0.9926289926289926,0.9761001517450683,0.9813883299798792,0.9845842810209755,0.9926370329970002,0.9817715019255455,0.9915646258503401,0.9834177798249655,0.9861005812484205
MarketWatch,0.9788559015206372,0.9507026789635485,0.9778523489932885,0.9650762420068864,0.9734177215189873,0.9697327044025157,0.9523973388391833,0.8736312518496596,0.9817715019255455,0,0.9794865178686621,0.9520554829631118,0.973971889640812,0.9629777070063694,0.9756398396546407,0.9633958781913258,0.9824486907289455,0.9998149690073087,0.9484774508544264,0.9496651106149787,0.9671135316296606
MorningStar,0.9910741766697445,0.9884640311082307,0.9870660313138189,0.9924509310518369,0.9919632606199771,0.9863994273443092,0.9914617989106433,0.8999049730757048,0.9829236739974127,0.9794865178686621,0,0.9886069394096323,0.9935444205348909,0.9847727272727272,0.9751371115173675,0.9869959280178642,0.9948328267477203,0.9794865178686621,0.9876650703816572,0.9871577417009935,0.9939508506616257
Nasdaq,0.9974052183941184,0.952674133966323,0.9913850231941683,0.9778919160339438,0.9548634619724667,0.96,0.9505955376614662,0.8855766335441132,0.9848872950819673,0.9520554829631118,0.9886069394096323,0,0.9865019737679868,0.9762965964343598,0.9715335169880625,0.9509266123054114,0.9945606694560669,0.9518862215049425,0.9634932920536635,0.9523997629863717,0.9566091954022988
Nyse,0.9932220201686229,0.9703606557377049,0.9913419913419913,0.9963479415670651,0.9935753292643752,0.9640102827763496,0.9691540738432778,0.8777320240734875,0.9926289926289926,0.973971889640812,0.9935444205348909,0.9865019737679868,0,0.9758646429460065,0.9687287559483345,0.9866962305986696,0.999568717653824,0.9740073145245559,0.9719361098671444,0.9707993071022024,0.9897619657025851
RendementBourse,0.9895052473763118,0.9677547770700637,0.9762979683972912,0.9877133105802047,0.9842913245269547,0.9718430034129693,0.9685885513535855,0.8978790259230165,0.9761001517450683,0.9629777070063694,0.9847727272727272,0.9762965964343598,0.9758646429460065,0,0.96875,0.9728102544183337,0.9908773812718004,0.9629777070063694,0.9655012734429266,0.9775745057539097,0.9791747761775009
Reuters,0.9773024879965081,0.9749845583693638,0.9665271966527197,0.981651376146789,0.9936,0.9901656314699793,0.9761173660866599,0.9213362068965517,0.9813883299798792,0.9756398396546407,0.9751371115173675,0.9715335169880625,0.9687287559483345,0.96875,0,0.9570087798970632,0.9793939393939394,0.9756398396546407,0.9875706214689266,0.978134110787172,0.970276008492569
SeekingAlpha,0.9880768039640756,0.9643814360276485,0.9732313575525813,0.9886792452830189,0.991480996068152,0.9640969162995595,0.9756499319630452,0.877657935285054,0.9845842810209755,0.9633958781913258,0.9869959280178642,0.9509266123054114,0.9866962305986696,0.9728102544183337,0.9570087798970632,0,0.996487477092242,0.9633958781913258,0.9505031275496328,0.9668227946916471,0.9867970994664113
