"Provider","Lines","Percentage"
"FinancialTimes","5835","0.026"
"Investing","11940","0.053"
"Dividend","22964","0.102"
"MorningStar","25427","0.113"
"Marketscreener","27468","0.122"
"Webull","29431","0.131"
"DividendMax","32821","0.146"
"Reuters","39266","0.174"
"Ychart","51294","0.227"
"Fidelity","57422","0.255"
"Iexcloud","65600","0.291"
"Yahoo","75356","0.334"
"RendementBourse","84199","0.373"
"Nasdaq","90735","0.402"
"Benzinga","90702","0.402"
"Nyse","94341","0.418"
"Barchart","96274","0.427"
"TradingView","97333","0.432"
"MarketWatch","133031","0.590"
"WallStreetJournal","132993","0.590"
"SeekingAlpha","195045","0.865"
"Total","225502","1"
