"Provider","Lines","Percentage"
"Marketscreener","66","0.002"
"Investing","289","0.011"
"Ychart","363","0.013"
"Iexcloud","352","0.013"
"Nasdaq","599","0.022"
"Fidelity","946","0.035"
"Reuters","1045","0.038"
"Benzinga","1553","0.057"
"Webull","1602","0.059"
"Yahoo","1687","0.062"
"Dividend","1744","0.064"
"Barchart","2072","0.076"
"RendementBourse","2111","0.077"
"MorningStar","2578","0.094"
"SeekingAlpha","3012","0.110"
"MacroTrends","3270","0.120"
"Fool","4037","0.148"
"MarketWatch","4091","0.150"
"WallStreetJournal","4089","0.150"
"TradingView","22759","0.833"
"Total","27309","1"
