"Provider","Lines","Percentage"
"B26","73439","0.010"
"C14","879071","0.120"
"B23","969313","0.132"
"A32","1040254","0.142"
"C39","1126111","0.153"
"A36","1183357","0.161"
"B22","1344662","0.183"
"C38","1382557","0.188"
"C16","1725830","0.235"
"C24","1908407","0.260"
"B46","2254707","0.307"
"C13","2425694","0.330"
"C12","3032193","0.413"
"C31","3066789","0.417"
"A34","3718922","0.506"
"B11","4069182","0.554"
"C42","4521971","0.616"
"C29","5583158","0.760"
"C44","5583158","0.760"
"C25","5614037","0.764"
"C28","5738759","0.781"
"C20","5772387","0.786"
"Total","7345913","1"
