"Provider","Lines","Percentage"
"C21","6547","0.003"
"B26","20133","0.008"
"C10","30402","0.012"
"C27","93055","0.037"
"C41","158540","0.063"
"C40","183008","0.073"
"C38","191565","0.076"
"C14","272104","0.108"
"C30","274200","0.109"
"B23","348576","0.138"
"C31","512268","0.203"
"C16","637728","0.253"
"A35","793450","0.315"
"B46","808746","0.321"
"C45","812830","0.322"
"B11","824678","0.327"
"A36","855997","0.339"
"C42","1069652","0.424"
"A32","1072405","0.425"
"C37","1082081","0.429"
"C39","1092731","0.433"
"C17","1118303","0.443"
"C33","1151493","0.456"
"C13","1254068","0.497"
"B22","1295407","0.513"
"C19","1363897","0.541"
"C28","1383019","0.548"
"C25","1384668","0.549"
"C44","1413632","0.560"
"C29","1418507","0.562"
"C43","1423678","0.564"
"C24","1453116","0.576"
"C20","1454982","0.577"
"C12","1458739","0.578"
"C15","1473271","0.584"
"C47","1532586","0.608"
"C18","1577602","0.625"
"A34","1749450","0.693"
"Total","2522774","1"
