"Provider","Lines","Percentage"
"B26","84006","0.010"
"C27","801808","0.100"
"C14","1021619","0.127"
"B23","1132038","0.141"
"A36","1393606","0.173"
"A32","1425904","0.177"
"C38","1493081","0.185"
"C39","1570294","0.195"
"B22","1870882","0.232"
"C16","1955619","0.243"
"C24","2112023","0.262"
"B46","2579499","0.320"
"C13","2782576","0.346"
"C31","3346519","0.416"
"C12","3557072","0.442"
"A34","4279458","0.531"
"B11","4444453","0.552"
"C42","4935287","0.613"
"C44","6105171","0.758"
"C29","6105171","0.758"
"C25","6141817","0.763"
"C28","6260107","0.777"
"C20","6580683","0.817"
"Total","8052550","1"
