Provider,Lines,Percentage
C21,7095,0
C10,30404,0.002
B26,223265,0.013
C30,273938,0.016
A35,794101,0.047
C45,812508,0.048
C37,1082536,0.064
C33,1149920,0.068
C27,1158922,0.068
C41,1185845,0.07
C40,1261984,0.074
C43,1682394,0.099
C15,2022089,0.119
C38,2186222,0.129
C14,2307920,0.136
C19,2518758,0.148
C17,3223656,0.19
B23,3313179,0.195
C47,4404521,0.259
A36,5200034,0.306
C16,5586660,0.329
C31,5647693,0.333
B46,7298859,0.43
A32,7350505,0.433
C18,7381624,0.435
B11,8031504,0.473
C24,8274199,0.487
C39,8415641,0.496
C13,8708477,0.513
C42,8840710,0.521
B22,9997636,0.589
C29,11421931,0.673
C44,11427468,0.673
C25,11441835,0.674
C28,11729156,0.691
C12,11929150,0.703
C20,12572473,0.741
A34,13289008,0.783
Total,16977907,1
