"Provider","Lines","Percentage"
"C48","1582","0.078"
"B23","3571","0.176"
"C31","4023","0.199"
"C16","4591","0.227"
"A36","4842","0.239"
"C49","4854","0.240"
"C50","5179","0.256"
"C17","5285","0.261"
"B46","5408","0.267"
"B11","7084","0.350"
"C42","7311","0.361"
"C45","8042","0.397"
"A32","8051","0.398"
"A35","8237","0.407"
"C44","10810","0.534"
"C29","10848","0.536"
"B22","14166","0.700"
"C12","15103","0.746"
"A34","15261","0.754"
"C37","15875","0.784"
"C47","15889","0.785"
"Total","20241","1"
