X,B11,C12,C48,C49,C16,C17,B22,B23,C31,C29,A32,A34,A35,C50,A36,C37,C42,C44,C45,B46,C47
B11,0,0.9670255318302123,0.9442072809201945,0.9915768341116397,0.9873308585798108,0.979735883424408,0.9901057782255163,0.9000940733772342,0.9927563858177659,0.8334281329484111,0.9830400470565168,0.9951128044523349,0.9749821300929236,0.8237541553225733,0.8781652927499471,0.917496935250195,0.900385169142168,0.8337286552971355,0.9892124674881678,0.961564468486423,0.9904304110072323
C12,0.9670255318302123,0,0.9416892954123196,0.9616506877865777,0.9629072530910623,0.9767357324609233,0.9628382979551335,0.8805104408352669,0.9553282249782763,0.896622814173205,0.9773851590106007,0.9399614597133567,0.9510824237589296,0.9222257197510836,0.8844395529969522,0.9429872949215274,0.9695703940819393,0.8970335212103233,0.953924977127173,0.929633498544218,0.9600008810378626
C48,0.9442072809201945,0.9416892954123196,0,0.9606231068801385,0.9500319284802043,0.9806547619047619,0.9819481889579181,0.8603839441535777,0.9721512293998413,0.9218850279636931,0.9807314897413024,0.9604093975343103,0.95906881555385,0.8987705219759994,0.8678704690831557,0.955818294959552,0.9566189624329159,0.9218850279636931,0.9671818023962494,0.9427738107211103,0.9828058429701765
C49,0.9915768341116397,0.9616506877865777,0.9606231068801385,0,0.9918940397350994,0.9816247582205029,0.9986658456486043,0.9140913972079704,0.9905677825041612,0.9311678832116789,0.988517745302714,0.9747941983535868,0.993213911481463,0.9629447743202821,0.8945196647324307,0.9904306220095693,0.9940620398080852,0.9321532846715328,0.9792510539803257,0.9681160718284,0.9953148064950902
C16,0.9873308585798108,0.9629072530910623,0.9500319284802043,0.9918940397350994,0,0.9920141969831411,0.9944231439525967,0.8961920321729295,0.9923310764128782,0.8811368447010953,0.9878343399482312,0.9639669204515621,0.9971801284880585,0.9191629266256132,0.8863670300134389,0.9929980903882877,0.999330655957162,0.8817328045046341,0.9610408921933086,0.9383007417397168,0.9924660974384731
C17,0.979735883424408,0.9767357324609233,0.9806547619047619,0.9816247582205029,0.9920141969831411,0,0.970533208606174,0.9049377018920166,0.9849921011058452,0.9626733025239957,0.9823731728288908,0.9561095505617978,0.9612972585558144,0.9725585149313963,0.9825224374114313,0.9602205592753053,0.9806477093206951,0.9634906500445236,0.9801779935275081,0.9653800238758456,0.9597883597883597
B22,0.9901057782255163,0.9628382979551335,0.9819481889579181,0.9986658456486043,0.9944231439525967,0.970533208606174,0,0.8889095300018577,0.9892217650808368,0.9369787765293384,0.985872812633376,0.9471555887087276,0.9685597365006487,0.957208312878416,0.9398611618560467,0.975261745177139,0.9975112714156898,0.9373033707865168,0.9553032133365548,0.9495978350747951,0.9800531914893617
B23,0.9000940733772342,0.8805104408352669,0.8603839441535777,0.9140913972079704,0.8961920321729295,0.9049377018920166,0.8889095300018577,0,0.9158532064747312,0.8587400177462289,0.8920413059351204,0.8794525514365993,0.8717242688947968,0.8928497193930576,0.8857319332921556,0.8799608471258231,0.8996919917864477,0.8598935226264419,0.8854099715361308,0.8819736473226801,0.8805646036916395
C31,0.9927563858177659,0.9553282249782763,0.9721512293998413,0.9905677825041612,0.9923310764128782,0.9849921011058452,0.9892217650808368,0.9158532064747312,0,0.951575130316537,0.9793147512179539,0.9887359198998749,0.9972414912173948,0.9631895687061184,0.9294028147584633,0.9896914917457235,0.9972527472527473,0.951575130316537,0.988925559222589,0.9770073182124877,0.9886619667126971
C29,0.8334281329484111,0.896622814173205,0.9218850279636931,0.9311678832116789,0.8811368447010953,0.9626733025239957,0.9369787765293384,0.8587400177462289,0.951575130316537,0,0.966844044207941,0.9397681135155498,0.9145515503352685,0.8169445056424567,0.8956027697224359,0.8984453622523327,0.9072422102904494,0.9997669032723773,0.9322320453664894,0.8477598828696925,0.9596380675391825
A32,0.9830400470565168,0.9773851590106007,0.9807314897413024,0.988517745302714,0.9878343399482312,0.9823731728288908,0.985872812633376,0.8920413059351204,0.9793147512179539,0.966844044207941,0,0.9808805031446541,0.9869297286552032,0.9709804972857047,0.9431673789996534,0.9821203624690154,0.9884570426651081,0.9674580433892754,0.9796429246174192,0.979107996594407,0.9884347861875952
A34,0.9951128044523349,0.9399614597133567,0.9604093975343103,0.9747941983535868,0.9639669204515621,0.9561095505617978,0.9471555887087276,0.8794525514365993,0.9887359198998749,0.9397681135155498,0.9808805031446541,0,0.9820125361791289,0.9267885714285714,0.897307625499392,0.9591153823886991,0.9915446719981676,0.9400737039001648,0.974998183007486,0.9435478069018441,0.9555721660320946
