"Provider","Lines","Percentage"
"C17","5835","0.026"
"B23","11940","0.053"
"C48","22964","0.102"
"A32","25427","0.113"
"C31","27468","0.122"
"C45","29431","0.131"
"C49","32821","0.146"
"A36","39266","0.174"
"C47","51294","0.227"
"C16","57422","0.255"
"B22","65600","0.291"
"B46","75356","0.334"
"C50","84199","0.373"
"A34","90735","0.402"
"C12","90702","0.402"
"A35","94341","0.418"
"B11","96274","0.427"
"C42","97333","0.432"
"C29","133031","0.590"
"C44","132993","0.590"
"C37","195045","0.865"
"Total","225502","1"
